"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 09:17:56 GMT 2023","Mon Nov 20 09:18:01 GMT 2023","5435","chromium","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:18:12 GMT 2023","Mon Nov 20 09:18:12 GMT 2023","605","firefox","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:18:14 GMT 2023","Mon Nov 20 09:18:19 GMT 2023","4354","webkit","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:18:05 GMT 2023","Mon Nov 20 09:18:06 GMT 2023","554","firefox","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:18:05 GMT 2023","Mon Nov 20 09:18:05 GMT 2023","621","firefox","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:18:06 GMT 2023","Mon Nov 20 09:18:12 GMT 2023","5562","firefox","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:17:54 GMT 2023","Mon Nov 20 09:17:55 GMT 2023","476","chromium","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:18:13 GMT 2023","Mon Nov 20 09:18:14 GMT 2023","569","firefox","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:17:55 GMT 2023","Mon Nov 20 09:17:56 GMT 2023","460","chromium","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:18:28 GMT 2023","Mon Nov 20 09:18:28 GMT 2023","549","webkit","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:17:54 GMT 2023","Mon Nov 20 09:17:54 GMT 2023","711","chromium","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:18:19 GMT 2023","Mon Nov 20 09:18:20 GMT 2023","566","webkit","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:18:27 GMT 2023","Mon Nov 20 09:18:28 GMT 2023","636","webkit","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:18:03 GMT 2023","Mon Nov 20 09:18:05 GMT 2023","1963","firefox","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:18:02 GMT 2023","Mon Nov 20 09:18:02 GMT 2023","344","chromium","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:18:02 GMT 2023","Mon Nov 20 09:18:02 GMT 2023","360","chromium","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:18:01 GMT 2023","Mon Nov 20 09:18:02 GMT 2023","383","chromium","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:18:19 GMT 2023","Mon Nov 20 09:18:19 GMT 2023","697","webkit","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:18:28 GMT 2023","Mon Nov 20 09:18:29 GMT 2023","587","webkit","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:18:06 GMT 2023","Mon Nov 20 09:18:06 GMT 2023","541","firefox","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:18:21 GMT 2023","Mon Nov 20 09:18:27 GMT 2023","5628","webkit","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:18:12 GMT 2023","Mon Nov 20 09:18:13 GMT 2023","503","firefox","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:17:55 GMT 2023","Mon Nov 20 09:17:55 GMT 2023","393","chromium","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:18:20 GMT 2023","Mon Nov 20 09:18:21 GMT 2023","1291","webkit","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
