"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 09:06:31 GMT 2023","Mon Nov 20 09:06:31 GMT 2023","375","chromium","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:06:35 GMT 2023","Mon Nov 20 09:06:41 GMT 2023","5656","firefox","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:06:56 GMT 2023","Mon Nov 20 09:06:57 GMT 2023","540","webkit","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:06:30 GMT 2023","Mon Nov 20 09:06:31 GMT 2023","410","chromium","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:06:56 GMT 2023","Mon Nov 20 09:06:56 GMT 2023","697","webkit","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:06:35 GMT 2023","Mon Nov 20 09:06:35 GMT 2023","628","firefox","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:06:32 GMT 2023","Mon Nov 20 09:06:33 GMT 2023","1771","firefox","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:06:57 GMT 2023","Mon Nov 20 09:06:58 GMT 2023","629","webkit","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:06:42 GMT 2023","Mon Nov 20 09:06:43 GMT 2023","579","firefox","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:06:44 GMT 2023","Mon Nov 20 09:06:47 GMT 2023","2902","webkit","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:06:34 GMT 2023","Mon Nov 20 09:06:35 GMT 2023","610","firefox","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:06:49 GMT 2023","Mon Nov 20 09:06:49 GMT 2023","633","webkit","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:06:41 GMT 2023","Mon Nov 20 09:06:42 GMT 2023","723","firefox","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:06:23 GMT 2023","Mon Nov 20 09:06:23 GMT 2023","741","chromium","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:06:23 GMT 2023","Mon Nov 20 09:06:24 GMT 2023","471","chromium","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:06:50 GMT 2023","Mon Nov 20 09:06:56 GMT 2023","5639","webkit","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:06:24 GMT 2023","Mon Nov 20 09:06:24 GMT 2023","412","chromium","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:06:24 GMT 2023","Mon Nov 20 09:06:25 GMT 2023","412","chromium","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:06:42 GMT 2023","Mon Nov 20 09:06:42 GMT 2023","598","firefox","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:06:49 GMT 2023","Mon Nov 20 09:06:50 GMT 2023","665","webkit","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:06:31 GMT 2023","Mon Nov 20 09:06:31 GMT 2023","337","chromium","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:06:33 GMT 2023","Mon Nov 20 09:06:34 GMT 2023","610","firefox","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:06:25 GMT 2023","Mon Nov 20 09:06:30 GMT 2023","5406","chromium","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:06:47 GMT 2023","Mon Nov 20 09:06:49 GMT 2023","2122","webkit","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
